team,probability,week
Cowboys,45,9
Saints,48,9
Buccaneers,52,9
Patriots,71,9
Jets,29,9
Colts,41,10
Titans,59,10
Bengals,21,10
Steelers,79,10
Texans,34,10
Browns,66,10
Jaguars,16,10
Packers,84,10
Eagles,63,10
Giants,37,10
Buccaneers,72,10
Panthers,28,10
Washington,36,10
Lions,64,10
Bills,58,10
Cardinals,42,10
Broncos,37,10
Raiders,63,10
Jets,36,10
Dolphins,64,10
Seahawks,48,10
Rams,52,10
49ers,50,10
Saints,50,10
Ravens,59,10
Patriots,41,10
Vikings,32,10
Bears,68,10
Cardinals,28,11
Seahawks,72,11
Falcons,33,11
Saints,67,11
Bengals,47,11
Washington,53,11
Lions,47,11
Panthers,53,11
Packers,57,11
Colts,43,11
Patriots,62,11
Texans,38,11
Eagles,40,11
Browns,60,11
Steelers,75,11
Jaguars,25,11
Titans,32,11
Ravens,68,11
Chargers,45,11
Broncos,55,11
Cowboys,60,11
Vikings,40,11
Chiefs,72,11
Raiders,28,11
Rams,47,11
Buccaneers,53,11
Texans,47,12
Lions,53,12
Washington,22,12
Cowboys,78,12
Ravens,55,12
Steelers,45,12
Cardinals,33,12
Patriots,67,12
Panthers,38,12
Vikings,62,12
Browns,63,12
Jaguars,37,12
Chargers,20,12
Bills,80,12
Dolphins,53,12
Jets,47,12
Giants,47,12
Bengals,53,12
Raiders,51,12
Falcons,49,12
Titans,50,12
Colts,50,12
Saints,62,12
Broncos,38,12
49ers,54,12
Rams,46,12
Chiefs,62,12
Buccaneers,38,12
Bears,39,12
Packers,61,12
Seahawks,66,12
Eagles,34,12
Cowboys,29,13
Ravens,71,13
Bengals,35,13
Dolphins,65,13
Browns,35,13
Titans,65,13
Lions,28,13
Bears,72,13
Colts,58,13
Texans,42,13
Jaguars,32,13
Vikings,68,13
Saints,62,13
Falcons,38,13
Raiders,60,13
Jets,40,13
Washington,18,13
Steelers,82,13
Rams,57,13
Cardinals,43,13
Giants,15,13
Seahawks,85,13
Patriots,65,13
Chargers,35,13
Eagles,24,13
Packers,76,13
Broncos,18,13
Chiefs,82,13
Bills,42,13
49ers,58,13
Patriots,44,14
Rams,56,14
Cardinals,63,14
Giants,37,14
Cowboys,69,14
Bengals,31,14
Broncos,45,14
Panthers,55,14
Packers,72,14
Lions,28,14
Texans,30,14
Bears,70,14
Chiefs,75,14
Dolphins,25,14
Vikings,30,14
Buccaneers,70,14
Titans,72,14
Jaguars,28,14
Colts,50,14
Raiders,50,14
Jets,17,14
Seahawks,83,14
Falcons,49,14
Chargers,51,14
Saints,60,14
Eagles,40,14
Washington,16,14
49ers,84,14
Steelers,46,14
Bills,54,14
Ravens,68,14
Browns,32,14
Chargers,34,15
Raiders,66,15
Bills,65,15
Broncos,35,15
Panthers,19,15
Packers,81,15
Lions,26,15
Titans,74,15
Texans,32,15
Colts,68,15
Jets,21,15
Rams,79,15
Bears,59,15
Vikings,41,15
Browns,65,15
Giants,35,15
Jaguars,13,15
Ravens,87,15
Patriots,63,15
Dolphins,37,15
Seahawks,78,15
Washington,22,15
Buccaneers,68,15
Falcons,32,15
Eagles,40,15
Cardinals,60,15
Chiefs,60,15
Saints,40,15
49ers,53,15
Cowboys,47,15
Steelers,75,15
Bengals,25,15
Vikings,31,16
Saints,69,16
Browns,61,16
Jets,39,16
Broncos,48,16
Chargers,52,16
Dolphins,36,16
Raiders,64,16
49ers,61,16
Cardinals,39,16
Buccaneers,70,16
Lions,30,16
Falcons,19,16
Chiefs,81,16
Panthers,53,16
Washington,47,16
Bears,71,16
Jaguars,29,16
Bengals,34,16
Texans,66,16
Colts,38,16
Steelers,62,16
Giants,12,16
Ravens,88,16
Rams,38,16
Seahawks,62,16
Eagles,33,16
Cowboys,67,16
Titans,37,16
Packers,63,16
Bills,48,16
Patriots,52,16
Falcons,32,17
Buccaneers,68,17
Ravens,82,17
Bengals,18,17
Cowboys,70,17
Giants,30,17
Packers,55,17
Bears,45,17
Jaguars,23,17
Colts,77,17
Chargers,16,17
Chiefs,84,17
Dolphins,26,17
Bills,74,17
Vikings,50,17
Lions,50,17
Saints,66,17
Panthers,34,17
Jets,22,17
Patriots,78,17
Steelers,59,17
Browns,41,17
Titans,62,17
Texans,38,17
Washington,32,17
Eagles,68,17
Cardinals,34,17
Rams,66,17
Raiders,53,17
Broncos,47,17
Seahawks,47,17
49ers,53,17
Bengals,32,2
Browns,68,2
Falcons,36,2
Cowboys,64,2
Bills,65,2
Dolphins,35,2
Panthers,31,2
Buccaneers,69,2
Broncos,30,2
Steelers,70,2
Lions,25,2
Packers,75,2
Jaguars,26,2
Titans,74,2
Rams,51,2
Eagles,49,2
Vikings,48,2
Colts,52,2
Giants,27,2
Bears,73,2
49ers,63,2
Jets,37,2
Washington,32,2
Cardinals,68,2
Ravens,69,2
Texans,31,2
Chiefs,72,2
Chargers,28,2
Patriots,42,2
Seahawks,58,2
Saints,65,2
Raiders,35,2
Texans,25,1
Chiefs,75,1
Bears,56,1
Lions,44,1
Browns,26,1
Ravens,74,1
Packers,47,1
Vikings,53,1
Colts,65,1
Jaguars,35,1
Dolphins,29,1
Patriots,71,1
Jets,35,1
Bills,65,1
Raiders,50,1
Panthers,50,1
Eagles,69,1
Washington,31,1
Seahawks,51,1
Falcons,49,1
Chargers,54,1
Bengals,46,1
Cardinals,27,1
49ers,73,1
Buccaneers,44,1
Saints,56,1
Cowboys,47,1
Rams,53,1
Steelers,67,1
Giants,33,1
Titans,54,1
Broncos,46,1
